feature,class
"[-362.73904      83.84942     -46.885574     65.75348     -19.43511
   -9.858848     10.94319     -17.12106       4.095901     -6.929408
   -3.3422377     0.58457357   -5.624145     -1.3157809     0.45218632
    1.4655951    -6.5371203     1.2821432     1.2307036    -5.451348
    1.1618923    -1.1564492    -2.0533535    -0.8725232    -2.2595916
   -1.1391398    -1.5912739    -4.8342123    -3.6849716    -2.0410717
   -3.8360002    -2.9562323    -3.2586915    -2.1826475    -2.711242
   -3.874624     -1.144213     -3.34087      -3.834096     -1.8590707 ]",male
"[-3.9290036e+02  5.3948353e+01 -1.6138357e+01  3.5134872e+01
 -3.7692480e+00 -5.8340840e+00 -1.4764662e+01 -3.0162315e+01
 -1.8705627e+01 -2.1309972e-01 -1.6359522e+01 -8.3006601e+00
 -8.8232050e+00  2.3259139e+00 -2.2835491e+01 -1.2727016e+01
 -4.6175580e+00 -1.6466290e+01 -9.0970669e+00 -2.9297686e+00
 -9.4810390e+00  2.3112023e+00 -6.1465607e+00  2.4586630e+00
  1.7973561e+00 -7.2592542e-02  4.3967385e+00  5.4707522e+00
  4.3345799e+00  2.3439415e+00 -1.2194964e+00 -5.8962840e-01
 -9.0610069e-01  3.5847041e-01 -3.4107049e+00 -9.7196132e-01
 -2.0069821e+00  8.5991126e-01 -9.0194178e-01 -1.7138523e-01]",female
"[-2.93913696e+02  1.13653076e+02  2.28747272e+01  3.88521881e+01
  1.96150036e+01  8.48440933e+00 -9.54115868e+00  9.52917576e+00
 -6.15384245e+00  1.03673124e+01 -1.08192139e+01  6.33091736e+00
  3.46904069e-01 -7.18136847e-01 -2.40175724e+00  1.08357477e+01
 -8.53756905e+00  3.53364682e+00  8.37894738e-01 -3.36446381e+00
 -2.05319118e+00  3.74027658e+00 -6.56941175e+00  1.90861094e+00
 -2.15863705e+00 -1.75083792e+00  6.16108894e-01  4.64173079e-01
 -1.50572404e-01 -5.90709448e-02  4.93801475e-01 -2.17946148e+00
  1.43122375e+00 -1.12429178e+00 -2.29656911e+00  1.18612850e+00
 -3.06455970e+00 -1.35020494e+00 -5.12404740e-01 -2.36960673e+00]",male
"[-3.1449081e+02  9.0973839e+01  2.3729877e+01  5.0894260e+01
  1.2157745e+01 -5.2855377e+00 -1.1038723e+01  3.0723104e+00
 -1.4402331e+00  1.1326499e+01 -1.3683285e+00  9.2632837e+00
 -4.5454564e+00 -3.5709310e-01  3.3843369e+00  1.3153731e+00
 -1.8696345e+00  3.6635289e-01 -2.3972697e+00  1.9834415e+00
  3.1000376e-01  1.1039319e+00 -4.1336212e+00  1.5830755e+00
 -1.6955621e+00  1.7386438e+00 -9.1477555e-01  1.3629425e+00
 -3.7958547e-01 -9.7051036e-01 -3.1775624e-01 -4.3370005e-01
  1.0215282e+00  3.7671661e-01  2.6214252e+00 -9.0704215e-01
  2.0972841e+00 -2.1595861e-01  1.2246013e+00 -3.6434186e-01]",male
"[-3.2676431e+02  1.1438309e+02 -4.9010916e+00  3.5710281e+01
 -4.8219786e+00  6.4096828e+00 -1.1477789e+01  1.9726248e+00
 -2.2109399e+00 -1.1292299e+01 -2.2785769e+00 -5.8238387e+00
  5.7309880e+00 -9.8041093e-01  3.9824271e+00  1.6574655e+00
 -2.7898052e-01 -5.4287964e-01 -2.5716290e+00  1.1332852e+00
 -1.1462417e+00  2.9454932e+00 -1.1892948e+00 -9.8690140e-01
 -5.8409095e-01 -1.8827821e+00 -1.9922303e-02 -1.5745785e+00
  4.7210190e-01  8.9417154e-01 -4.1243163e-01 -3.0552666e+00
 -1.4394542e+00  5.8871800e-01 -5.1033938e-01 -3.4797153e-01
  1.6778437e+00  3.1628628e+00  1.0880905e+00  1.1449348e+00]",male
"[-313.46277      98.62639      -1.9247993    37.36754     -14.229407
  -17.76856     -22.24356      -5.5102224   -21.506464    -25.134615
   -5.175031     -4.599645     -4.6600523    -8.655293     -7.3654222
   -4.490749      0.5018376    -5.6055975    -6.5775623    -5.703752
   -3.7167108    -2.0522852    -0.79677844    1.1541662     0.6380287
    1.4334706     1.0424258     5.1945066     4.4375234     0.32027867
    0.5768753     4.5622516     3.6281116     1.716079      1.7745019
    0.5192408     2.2088861     1.7314228    -0.46698576   -0.95617384]",female
"[-304.14703     101.23244     -20.312061     37.263535     -1.8664091
   -4.897759    -33.515842    -27.518473    -11.970602    -18.575592
  -12.250315      6.0060773    -3.9196       -9.203838      2.6857908
  -19.178638     -6.464949     -6.1380677   -12.65693      -2.7423275
   -8.529105     -3.8608408    -9.78641      -7.085904     -3.1507967
   -9.183611     -2.797854     -5.7484646    -5.6007285    -0.80699813
   -1.0910062     1.8503879    -1.5983       -3.8529758    -3.6960053
   -1.6769416     1.6664491     2.1364343     3.7578406     4.547842  ]",female
"[-2.6013318e+02  1.1142074e+02 -2.5892553e+01  3.5799416e+01
 -1.9497190e+01 -4.2106825e-01 -2.9923721e+01 -4.5300871e-01
 -7.4554338e+00 -8.4669485e+00 -8.9163595e-01 -2.8592169e+00
 -1.8067647e+00 -4.8766799e+00  2.8269858e+00 -9.6214857e+00
 -4.0805111e+00 -8.6584482e+00 -5.1312652e+00 -9.8111172e+00
 -8.4349651e+00 -4.3923988e+00 -6.4764490e+00 -2.8196878e+00
 -5.7842288e+00 -3.4037044e+00 -4.8018231e+00 -3.4092562e+00
 -3.8373911e+00 -7.8674549e-01 -2.6850268e-01 -2.1457517e+00
 -1.5450381e+00 -7.4944967e-01 -4.8767552e-01  2.9517192e-01
  2.0928890e-01 -1.9824816e+00 -1.7884635e+00 -3.0000904e+00]",female
"[-3.0769565e+02  1.3094949e+02 -1.0313343e+01  4.3943069e+01
 -3.2494226e+00  5.6667223e+00 -2.0019293e+01 -4.4575944e+00
 -1.3120030e+01 -9.8655491e+00 -5.0875959e+00 -1.1188536e+01
 -7.5643331e-01 -1.1865806e+01  1.9990441e+00 -5.4432750e+00
 -7.4150357e+00  1.7172784e+00 -5.0301719e-01 -4.7340503e+00
 -1.4179350e+00  2.0924349e+00 -5.1871119e+00 -5.0762200e+00
 -3.3552980e+00 -3.0044575e+00 -4.4610443e+00 -1.1979406e+00
 -3.0984714e+00 -3.7840312e+00  2.8706139e-01 -1.2767041e+00
 -2.0578480e+00 -2.3946831e+00 -1.5284396e+00 -3.2229395e+00
 -4.7755108e+00 -3.0480986e+00 -3.8587523e+00 -3.6589179e+00]",male
"[-3.0678580e+02  9.8796471e+01 -2.9121728e+00  2.3056690e+01
 -1.1882542e+00  3.1098163e+00 -9.3716774e+00  3.6602798e+00
 -1.0350731e+01 -3.3513472e+00 -1.2400591e+01  4.0321078e+00
 -8.8240824e+00  5.3572826e+00 -4.5958734e+00 -4.7563186e-01
 -5.4568229e+00 -8.3707952e-01 -5.0097265e+00 -4.0510100e-01
 -4.7022209e+00 -1.4212005e+00  1.2336373e+00  1.2371408e+00
  1.4872624e+00  7.0516634e+00  5.0081162e+00  3.1833470e+00
  8.4238834e+00  9.9886532e+00  7.0009255e+00  8.9124022e+00
  5.7152424e+00  3.6495600e+00 -1.1253465e-01  1.6832559e+00
  1.7174517e+00  9.6513635e-01  1.8736000e-01 -1.8826120e+00]",female
"[-3.1558591e+02  8.8333450e+01  1.1442458e+01  3.2220119e+01
  2.4244735e+00  6.6518426e+00 -1.6632048e+01  7.3262134e+00
 -1.2471794e+01  3.7299008e+00 -2.0588398e+00  4.1916285e+00
 -2.3286355e+00  4.7654233e+00 -2.6602299e+00  4.3521276e+00
  2.0262015e+00  2.3796415e+00 -4.7981038e+00 -1.8378201e+00
 -2.8403300e-01 -1.1311370e+00 -2.1654332e+00  1.2535617e+00
  8.6888486e-01 -7.6180297e-01  1.8654779e-01  2.7359338e+00
 -1.2971170e+00  2.2071049e-01 -1.2683444e-01  4.9456282e+00
  2.3111699e+00  5.4906950e+00  8.4633865e+00  4.9827528e+00
  7.4503331e+00  4.4717121e+00  2.2777319e-01  2.2202094e+00]",female
"[-2.6886346e+02  9.5321609e+01 -1.4613458e+01  2.7167677e+01
 -1.8364906e+01  1.0174100e+01 -2.9243574e+01 -7.0514026e+00
 -2.3571424e+01 -7.2833829e+00 -1.6969954e+01 -2.1387596e+01
 -6.1450753e+00 -1.2999914e+01 -1.5554954e+00 -1.7038445e+01
 -4.1713686e+00 -8.8611183e+00 -9.0997772e+00 -7.5917883e+00
 -9.6884632e+00 -9.2226191e+00 -9.0662603e+00 -5.6344848e-02
 -8.6099834e+00 -2.3338208e+00 -1.5298924e+00  2.0613217e+00
  2.3371172e+00  4.4363418e+00  5.8440008e+00  3.8222466e+00
  8.6206427e+00  4.8282886e+00  9.8837938e+00  3.2623255e-01
  3.9120269e+00 -5.8919126e-01 -1.3239861e+00  4.3395883e-01]",female
"[-356.6411      92.9692       2.064505     9.093137    -1.8719308
   -6.877389   -42.139652    -4.495401   -14.243817   -17.230755
  -10.28299     -4.3333526  -15.053339   -13.062929   -10.971064
   -3.7616801   -8.838046    -7.404361    -8.004861    -2.6442974
   -3.556214    -3.6477287   -7.646376    -1.8693454   -3.4344552
   -3.6932092   -2.9189587   -6.4507494    1.1566741   -2.5578105
   -3.4009502   -1.8873342   -0.9604291   -2.7453284   -2.1751213
   -2.8524163   -2.9112818   -2.2504075   -1.1600448   -2.3678558]",male
"[-2.8021558e+02  1.3984164e+02  1.9148695e+01  3.7495102e+01
  1.4536713e+01  3.2999182e+00 -1.4731219e+00  8.6487570e+00
 -6.2846370e+00 -7.5154865e-01 -7.0437169e+00  1.7846240e+00
 -3.6944952e+00  6.0003295e+00 -2.3184848e+00 -7.6243865e-01
  2.0166383e+00 -2.0248067e+00 -6.7584062e+00  5.3611314e-01
 -5.2594829e+00 -8.1117249e+00  3.2370046e-01 -3.4898885e-03
 -4.9379306e+00  2.8256589e-01 -1.8215849e+00  9.6012168e-02
 -4.1026888e+00 -2.4844341e+00 -1.4615508e+00 -5.8015647e+00
 -1.8199922e+00 -9.7015075e-02 -1.3724430e+00 -1.6189522e+00
  3.6395156e+00  2.6067836e+00  2.4488699e+00  3.7711668e+00]",female
"[-3.4166806e+02  8.4293251e+01 -2.5957100e+01  3.5357487e+01
 -1.8953194e+01 -2.0659128e+01 -3.3074539e+01 -7.4917192e+00
 -1.0018122e+01 -1.5267484e+01 -7.4301500e+00 -1.3547828e+01
 -6.6827841e+00 -1.0519964e+01 -1.2925233e+00 -6.4432817e+00
 -5.4753861e+00 -2.2304509e+00 -6.4224253e+00 -5.0136352e+00
 -4.8205147e+00 -3.5681076e+00 -5.1043591e+00 -4.0097542e+00
 -4.9420195e+00 -2.9856083e+00 -5.4619557e-01 -6.7590799e+00
 -5.1701107e+00 -4.7356918e-02 -1.4250842e+00  1.2855223e+00
 -5.6706399e-01 -2.4788259e-01  2.9766846e+00  3.9159670e+00
  5.7354717e+00  4.1783171e+00  6.1474400e+00  4.4654140e+00]",male
"[-3.6260123e+02  7.0697174e+01  6.1742587e+00  4.7508171e+01
  3.7703025e+00  4.7524657e+00 -1.1218454e+01 -6.0200578e-01
 -1.6529799e+01  1.3401267e+01 -1.5365206e+01  3.3794928e+00
 -4.2696562e+00 -4.0554657e+00  4.4251213e+00 -4.6375360e+00
 -7.4233227e+00  1.9075561e+00 -1.8783886e+00 -6.6714659e+00
 -2.9493239e+00 -9.4623017e-01 -6.5122604e+00 -2.5683384e+00
 -2.8061671e+00 -2.7039192e+00 -1.6454101e+00 -2.6009951e+00
 -2.0627358e+00 -1.3191762e+00 -1.0207955e+00 -7.1696860e-01
 -3.6742577e-01 -2.0986769e+00 -5.0286931e-01  1.0069010e+00
 -1.5680245e+00  9.5066279e-02 -2.2645009e+00 -4.1601852e-01]",male
"[-418.42334      85.32601      18.594988     26.935823    -13.544659
   -9.990738    -18.384983     -9.7764435   -31.683805    -18.92112
   -0.71627873   -3.8258157   -12.534002    -10.831699      1.5592431
  -10.669961     -6.6103077    -7.5570683    -9.3157       -8.933422
   -6.7203016   -10.793257    -11.742585     -7.6303177    -3.6411843
   -1.0727785    -3.8896568     2.06403      -5.969693     -0.46353507
    3.509173     -2.1337967     1.9392757     2.2415087     3.4125373
    3.691001      5.1958537     3.83538       5.794434      5.4464436 ]",female
"[-3.0538742e+02  8.3238579e+01  7.7294960e+00  2.0714972e+01
  2.0486648e+00 -2.6159089e+00 -1.5186570e+01  2.2755311e+00
 -1.0902547e+01  1.2297228e+01 -5.2313643e+00  1.4290001e+00
 -3.1493580e+00  4.6119800e+00 -4.2477322e+00  9.3665421e-01
 -9.2919546e-01 -1.9411424e+00 -3.9779069e+00 -2.3825824e+00
 -1.5828860e+00 -1.5514308e+00  1.7798110e+00  4.4199553e+00
  3.7374332e+00  8.1759129e+00  9.9719524e+00  1.1477350e+01
  1.1928774e+01  1.0232756e+01  8.1443214e+00  1.8117477e+00
  2.1110010e+00  1.4707333e+00  6.1543083e-01  9.7083873e-01
  1.1498203e+00  7.6179713e-01 -1.1180103e+00 -2.6373973e-01]",female
"[-4.08911591e+02  1.25623024e+02 -4.23224068e+01  2.73402576e+01
 -3.52158499e+00 -9.99951744e+00  5.50562716e+00 -1.47077618e+01
  4.01547194e+00 -1.71923757e+00 -5.85451794e+00  3.12267452e-01
 -8.94361973e+00 -1.21089065e+00 -1.68804276e+00 -4.55660009e+00
 -2.96808934e+00 -2.31032753e+00  2.13104057e+00 -3.13893032e+00
 -1.23595679e+00  6.28164172e-01 -3.31980753e+00 -2.69689828e-01
 -5.81956339e+00 -7.71930313e+00 -3.39668679e+00 -4.60394335e+00
 -3.44219947e+00 -3.92712379e+00 -3.00065827e+00 -1.66997921e+00
 -3.67499804e+00 -1.47571981e+00 -8.62739086e-01 -2.26428056e+00
 -5.75337708e-01 -8.29179943e-01 -2.61471558e+00 -1.73208201e+00]",male
"[-2.7764429e+02  1.0154007e+02 -1.6622394e+00  2.9545574e+01
  6.5226383e+00  5.2546358e+00 -8.1860704e+00  3.7537642e+00
 -4.8893838e+00  8.4106749e-01 -6.4286165e+00  6.1857719e+00
 -4.8075404e+00  3.3278370e+00  2.7167401e-01 -3.7638233e+00
 -2.0787117e+00  7.4344099e-01 -2.6452160e+00 -9.9499726e-01
 -1.7583718e+00  3.1536913e+00 -1.8251437e+00  2.9881334e+00
 -6.8248814e-01  1.3743367e+00 -3.5854542e-01  3.4383836e+00
  3.8367949e-02  4.5578346e+00  4.4735045e+00  6.8348532e+00
  5.7621078e+00  8.2942390e+00  9.0162582e+00  4.7912807e+00
  4.8420820e+00  1.3582211e+00  6.0636669e-01 -8.9537513e-01]",female
"[-3.1485474e+02  6.2908848e+01  4.4251513e+00  8.9910402e+00
 -9.2651129e+00 -1.3262544e+01 -2.0273058e+01 -3.9787648e+00
 -2.0659855e+01 -2.2344583e-01 -1.9213173e+01 -1.1613996e+01
 -1.5562191e+01 -2.0569093e+00 -1.6227823e+01 -3.7428191e+00
 -1.1929716e+01 -5.1881289e+00 -1.3791793e+01 -5.3998923e+00
 -1.0107108e+01 -4.7742133e+00 -3.9845595e+00 -2.5804524e+00
 -7.9551864e+00 -1.7461765e+00 -3.4915218e+00  4.6196797e-01
  3.3743623e-01  8.1333101e-01  1.8622657e+00  5.2333140e+00
  4.6717701e+00  5.6578131e+00  2.6558862e+00  3.3123407e+00
  1.7092276e+00  2.4431007e+00  1.1368688e+00  1.1886032e+00]",female
"[-3.3069757e+02  1.0598610e+02  1.1049545e+01  1.6813097e+01
 -1.5066097e+01 -1.2842935e+00 -2.4548466e+01 -7.4170437e+00
 -9.0558825e+00  8.2310772e-01 -9.4741898e+00 -7.4413815e+00
 -1.6212128e+01 -1.8083640e+00 -4.1659870e+00 -4.0586739e+00
 -1.2988731e+01 -4.8697934e+00 -9.3740768e+00 -7.9801974e+00
 -9.7166424e+00 -5.5826554e+00 -7.4868479e+00 -6.8290467e+00
  5.7849264e-01 -5.0282151e-01 -2.6976726e+00 -3.7673703e-01
  1.3911707e+00 -2.8442676e+00 -3.3380029e+00 -2.0894086e+00
 -5.2791655e-01 -1.6849984e+00  9.6882981e-01 -6.1632246e-01
 -2.8507857e+00 -5.5989739e-02  1.8115284e+00 -3.6336902e-01]",male
"[-3.6524707e+02  4.7640312e+01  1.5768099e+01  3.6391018e+01
 -1.1026529e+00 -1.4696894e+01 -1.4764193e+01 -1.2330407e+01
 -1.9202881e+01 -8.5495539e+00 -4.6091132e+00  1.7966399e-01
 -1.8846508e+01  3.9787002e+00 -9.8842001e+00 -5.8250570e+00
 -9.2204695e+00 -7.9110764e-02 -1.0674679e+01  5.4311693e-01
 -1.4959529e+01 -1.4292299e+00 -5.0792890e+00 -5.4207783e+00
 -5.1248682e-01  3.0035264e+00 -4.5454122e-02  7.2213726e+00
  3.2710793e+00  1.0564718e+01  8.6503572e+00  5.5863252e+00
  1.0230577e+01  5.6802101e+00  5.4085460e+00  4.1774826e+00
  4.8456945e+00 -6.1801577e-01  3.1040378e+00  4.4652501e-01]",female
"[-353.54675      75.54825      27.237038     21.780878    -13.830265
   -4.1721754   -16.93688     -21.202665    -28.437584      4.0249033
  -11.184853     -2.286926    -21.92951      -2.961971     -4.533664
  -15.216558    -12.489196     -0.43830785   -8.37827     -12.239055
   -6.284616     -6.7999296    -5.448118     -6.1802917    -5.057853
   -4.5759716    -4.628968     -4.398227      0.6913524     2.1127164
    3.8222063     3.2623749     3.7027674     7.9505596     3.5598078
    5.8463755     7.6844273     5.936284      4.6633096     2.0799148 ]",female
"[-2.94982117e+02  1.25774315e+02 -3.44566965e+00  4.33349800e+01
 -1.96219347e-02  6.39094651e-01 -2.46825714e+01 -1.04990520e+01
 -4.17369747e+00 -9.92584705e+00 -4.60877085e+00 -4.48031473e+00
 -6.34180403e+00 -7.49652958e+00  3.37511230e+00 -8.51503277e+00
 -6.37059975e+00 -1.11388099e+00 -6.41749907e+00 -5.76388168e+00
 -8.80617380e-01 -4.84408283e+00 -5.21260214e+00  3.14767450e-01
 -4.63335991e+00 -2.85949755e+00 -3.38281012e+00 -5.35570383e+00
 -4.45667362e+00 -1.14965880e+00 -1.18308485e+00 -1.46412504e+00
  4.34616804e+00  1.96302295e+00  1.69664717e+00  5.40182400e+00
  4.15062904e+00  3.64122963e+00  3.09713101e+00  1.83133066e+00]",female
"[-3.3521814e+02  9.0896805e+01 -5.9342966e+00  2.3518839e+01
 -3.1960566e+01  2.8454126e+01  3.3146944e+00  5.2589259e+00
 -9.2559156e+00  1.7290292e+00  1.8190479e+00  2.1168830e+00
  6.4076285e+00 -2.7398028e+00  9.1155281e+00 -4.3318477e+00
  9.1441288e+00  5.9857626e+00 -1.9947206e+00  1.5227656e+00
 -3.2479262e+00 -3.3180084e+00  1.1036167e+00  2.8376007e+00
 -2.0758343e+00 -8.7179345e-01 -9.4714344e-02  6.7926779e-02
  1.6686118e+00  3.9563115e+00  5.7945671e+00  2.6610970e+00
  2.5970492e+00  2.0402236e+00 -2.7810037e-01  3.5970602e+00
  8.2997131e-01 -4.4836920e-01  1.4277245e+00 -4.3548730e-01]",female
"[-3.1159888e+02  1.1530735e+02 -1.6772278e+01  3.6851982e+01
 -6.9551921e+00  4.2619152e+00 -8.1100273e+00  1.8821824e+00
  1.6335328e+00  4.9621301e+00 -4.3454967e-03 -1.2489196e+00
 -1.8914585e+00 -1.3607070e+01  7.0735037e-01 -6.1162395e+00
  2.4550285e+00 -3.9534938e+00 -1.1530114e+01 -6.8887296e+00
 -6.3539877e+00  1.5576912e-01 -8.3659229e+00 -3.5460970e+00
 -3.0429941e-01 -5.0182128e+00 -3.8305731e+00 -6.3315258e+00
 -1.2562089e+00  1.2515464e+00 -2.5662110e+00 -5.7709306e-01
  1.2149125e+00  6.4389286e+00  3.1061642e+00 -3.3810854e+00
 -3.5276005e+00 -3.8679409e+00 -1.8970180e+00 -5.5519457e+00]",female
"[-3.44540955e+02  8.63456726e+01 -1.19968634e+01  5.26078873e+01
  4.40242052e+00  2.85441709e+00 -4.65637732e+00 -5.69669819e+00
 -1.92845840e+01  6.87689734e+00 -8.56223392e+00  9.47505414e-01
  2.18281448e-01 -1.13258176e-01 -1.48474312e+00  1.12474704e+00
 -4.00178957e+00 -5.58698940e+00  7.60919154e-01 -2.25778675e+00
 -5.91170692e+00  5.42996740e+00 -1.80446112e+00  1.21304083e+00
  2.42426395e+00  1.24269056e+00  1.11080110e+00  2.97299480e+00
 -1.08918726e+00  1.26336694e+00  1.24633896e+00  1.27586365e+00
  1.96768057e+00  6.21177793e-01  4.12974328e-01 -7.14142323e-01
  1.33256006e+00 -1.34571600e+00  1.42985559e+00 -1.79077363e+00]",male
"[-2.4900143e+02  9.7949150e+01 -1.7648708e+01  2.9895191e+01
 -2.0868096e+00 -6.8286723e-01 -6.7939200e+00  2.1032612e+00
 -1.6402323e+01  9.0455551e+00 -6.8490176e+00  2.5607497e-01
 -1.8508037e+00  3.4219291e+00 -3.6208251e+00  1.7948785e+00
 -5.0815105e+00  2.7364771e+00 -1.8043882e+00  2.2689564e+00
  2.5594959e+00  1.9534893e+00 -1.1366963e+00  1.4805748e+00
  1.9287871e+00  6.3945681e-01  2.8284323e+00  1.0683433e+00
 -7.5017661e-01 -1.5573889e+00  1.7444609e+00 -3.2713866e-01
 -7.3753172e-01 -1.2865847e+00 -1.0630347e+00 -5.2129799e-01
  7.1916476e-02  1.7013057e+00  1.2048116e+00  3.9108381e-01]",male
"[-286.9524      66.08396     -7.3561153   23.333834    -6.113284
    5.243798   -32.516624   -21.917383   -17.775414   -10.211597
  -28.693527     3.7820034  -16.376244    -2.9831119  -14.732068
   -2.5090156   -7.964109    -5.9254246  -12.207956    -5.9880605
  -12.791073    -3.414016    -9.466586    -4.7179117   -5.2824883
   -1.4702601   -3.772637    -2.1689196   -1.660389    -0.7105317
    1.3598598    4.550713     1.4114136    2.6918476    5.498491
    5.183033     5.859075     6.2572985    3.6436343    2.1970568]",female
"[-2.8921765e+02  1.0732149e+02 -1.3787625e+01  2.7848721e+01
  2.8330258e-01  6.9028139e+00 -1.9148121e+00  6.6185899e+00
 -5.0170193e+00  4.0464272e+00 -1.2751010e+01  4.7309566e+00
 -8.0881319e+00  2.0762262e+00 -5.1090698e+00  2.1023599e-02
 -3.5456095e+00 -1.2646658e+00 -1.0046972e+01  3.9172390e-01
 -3.1746821e+00 -3.4693167e+00 -1.6978302e+00 -8.3169615e-01
 -5.0622091e+00 -1.3345892e+00 -1.3951226e+00 -6.2167721e+00
 -4.3570833e+00 -1.0064349e+00 -4.2972145e+00 -9.3896806e-01
  1.2942593e-01  8.4063047e-01 -7.4872065e-01 -6.2556785e-01
  3.2331278e+00  3.4644098e+00  4.4785256e+00  5.9570136e+00]",female
"[-3.4741010e+02  1.1202157e+02  5.6392355e+00  3.8892765e+01
  2.3197362e+00  9.1148539e+00 -1.5595500e+01 -1.9882938e+00
 -5.1334467e+00 -7.6947126e+00 -9.7063756e-01 -4.0210958e+00
  6.8045020e-02 -1.4846900e+00 -1.0917600e+00 -5.3341689e+00
  2.5083549e+00 -5.9073839e+00 -1.2027551e+00 -5.2549732e-01
 -4.9371271e+00  2.5993564e+00 -9.2705691e-01  1.5221127e+00
 -1.1524981e-01 -3.7027735e-02 -1.4496001e+00 -8.6367404e-01
  7.6690537e-01 -2.2967694e+00 -7.5442511e-01 -1.3166887e+00
 -9.2388469e-01 -1.6753217e+00 -3.1888990e+00 -1.4968983e+00
 -1.4363660e+00 -1.8969122e+00 -3.4263742e+00 -3.2188003e+00]",male
"[-337.91406     113.025696     -8.892953     34.83476     -14.413462
   -7.8199377    -8.826531    -12.754224    -24.26186     -12.891603
   -4.152626     -1.3464419    -1.7988572   -11.796431      0.56828326
   -9.272795     -7.0740185    -2.7757096    -3.973177     -3.8887367
   -4.1013656    -5.5094194    -7.7226295    -2.1081896    -5.080147
   -1.2611424    -3.1492949    -5.159861     -4.1467676    -2.5298588
   -1.687438     -5.337997     -2.9046845    -2.205743     -0.7263755
   -5.6338954    -4.902937     -1.3922989    -3.333706     -2.411891  ]",male
"[-3.5649530e+02  1.2134316e+02  1.6516601e-01  1.5777148e+01
 -3.5097499e+00  2.9532835e+00 -2.1863157e+01  9.7774351e-01
  6.4369693e+00 -7.6368175e+00  4.6104380e-01 -5.8016624e+00
 -9.7665453e+00 -1.2456305e+01 -6.2889695e+00 -3.2364929e+00
 -2.3463492e+00  2.3255862e-01 -1.2529869e+00 -5.1236691e+00
 -2.7839661e+00 -3.1332970e+00 -4.1609225e+00 -2.9493351e+00
 -1.0441360e+00 -3.3187065e-01 -4.5290742e+00 -2.4883041e+00
 -2.8600039e+00 -4.8429008e+00 -5.5335102e+00 -1.1502479e+00
 -1.5844719e+00 -4.8822813e+00 -6.7939508e-01 -3.5985439e+00
 -4.6132026e+00 -2.2274392e+00 -2.4455748e+00 -3.7550702e+00]",male
"[-4.1894531e+02  7.5248672e+01  1.1455710e+00  2.1965443e+01
 -1.6642508e+01 -1.1486091e+01 -5.2498155e+00 -1.6531838e+00
 -1.7290834e+01 -1.8919550e+00 -2.1508327e+01 -4.7795663e+00
 -1.5015998e+01 -1.0235391e+00 -1.5552905e+01 -1.1867798e+01
 -1.1645608e+01 -5.0526261e-01 -1.7233103e+01 -8.6914148e+00
 -1.0410655e+01 -5.9072447e+00 -9.7770691e+00 -6.1371584e+00
 -1.8479989e+00 -2.1078928e+00 -3.6907246e+00  2.4488983e+00
  2.0180023e+00  2.9380424e+00  3.6191223e+00  4.6137037e+00
  5.3208561e+00  3.5950463e+00  7.8561729e-01  3.2814004e+00
  3.8017642e-01  1.1133594e-01  1.8318770e+00  8.6498278e-01]",female
"[-3.4792929e+02  1.1754807e+02  2.8755972e+01  2.3249477e+01
 -6.5482254e+00  9.1140814e+00 -3.7769067e+00 -1.3765655e+01
  1.8901727e+00 -2.3823693e+00 -5.5382929e+00  6.0068321e+00
  4.7989197e+00 -2.2305725e+00 -1.2661819e+00  6.4822644e-02
  5.3552181e-01 -3.5418708e+00 -4.7791648e-01  1.8507016e+00
 -2.0285933e+00 -3.1072536e-01  1.1722788e+00 -1.5009275e-01
 -7.3500854e-01 -1.7358745e+00 -7.5657558e-01 -1.0563089e+00
 -2.7814155e+00 -7.1591705e-01 -1.8797206e-02 -1.3879596e+00
 -1.7206033e+00 -1.2998284e+00 -7.5425833e-01 -9.4827133e-01
 -1.4636520e-01  2.2173484e-01 -1.7454604e+00 -1.6517276e+00]",male
"[-2.9931964e+02  1.0812336e+02  1.0092215e+01  3.1061398e+01
  6.0601292e+00  1.9416655e+01 -4.4015841e+00  2.1568874e+01
  2.4520504e+00  5.8013630e+00 -8.1997747e+00 -2.9066774e-01
 -3.8219833e+00 -8.1899047e-01 -1.8542225e+00  4.7123780e+00
 -2.7430151e+00  6.6114740e+00  7.1939926e+00  3.5360191e+00
  2.9154246e+00  4.0703444e+00 -2.5939310e+00 -1.8467388e+00
  7.8437561e-01 -9.9152303e-01 -4.3311858e+00  7.9905128e-01
  1.4341800e+00  1.7254565e+00  3.8865483e+00 -2.2793213e-01
  1.7828044e+00  3.8679478e+00  3.4874895e+00  2.3474727e+00
  1.4054267e+00  2.9625242e+00 -3.4996161e-01  3.3723310e-01]",male
